timestamp,model,symbol,date,action,direction,position_description,asset_price,theoretical_portfolio_value,cumulative_return_pct,daily_log_return,status
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-22,SELL,-1,Short Position (100%),136.125,38566.14761087714,-61.43385238912287,-0.021873070720211763,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-23,BUY,1,Long Position (100%),138.36720275878906,37941.193713964734,-62.058806286035264,-0.016337459561395498,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-24,BUY,1,Long Position (100%),137.78883361816406,37782.601105563976,-62.21739889443603,-0.0041887187682310536,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-27,BUY,1,Long Position (100%),137.2816619873047,37643.531320896815,-62.35646867910318,-0.0036875798290414478,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-28,BUY,1,Long Position (100%),134.7013702392578,36935.99841498228,-63.06400158501773,-0.018974486326627463,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-29,BUY,1,Long Position (100%),133.6781463623047,36655.42372275619,-63.34457627724382,-0.007625237930134454,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-30,BUY,1,Long Position (100%),133.5001983642578,36606.62921560207,-63.39337078439793,-0.001332054246694994,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-01,BUY,1,Long Position (100%),131.94309997558594,36179.66263379373,-63.82033736620627,-0.011732194851845793,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-04,SELL,-1,Short Position (100%),131.92529296875,36174.779835830355,-63.82522016416965,-0.00013496885067799052,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-05,BUY,1,Long Position (100%),133.01968383789062,35877.159606979476,-64.12284039302052,-0.008261316040880163,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-06,BUY,1,Long Position (100%),131.7562713623047,35536.40063260629,-64.46359936739371,-0.009543329290641153,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-07,SELL,-1,Short Position (100%),131.3202362060547,35418.796211638786,-64.58120378836121,-0.0033148954238629465,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-08,SELL,-1,Short Position (100%),132.3079376220703,35154.38883139731,-64.84561116860269,-0.00749317512689885,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-11,BUY,1,Long Position (100%),132.6726837158203,35057.74176249588,-64.94225823750412,-0.002753003765156907,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-12,BUY,1,Long Position (100%),130.91986083984375,34594.571726130256,-65.40542827386975,-0.013299683537677146,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-13,SELL,-1,Short Position (100%),130.91098022460938,34592.22509148883,-65.40777490851117,-6.783475316875097e-05,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-14,SELL,-1,Short Position (100%),131.36477661132812,34472.72710154039,-65.52727289845961,-0.003460455857871981,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-15,SELL,-1,Short Position (100%),133.8561248779297,33831.11605096072,-66.16888394903928,-0.01878752039002491,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-18,BUY,1,Long Position (100%),133.92727661132812,33813.142546154704,-66.18685745384529,-0.0005314125870175422,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-19,BUY,1,Long Position (100%),132.59263610839844,33476.18064626929,-66.5238193537307,-0.01001539919157257,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-20,BUY,1,Long Position (100%),131.40036010742188,33175.16206816158,-66.82483793183842,-0.009032694991894562,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-21,BUY,1,Long Position (100%),130.5373077392578,32957.263866332105,-67.04273613366789,-0.006589777624880551,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-22,SELL,-1,Short Position (100%),129.34567260742188,32656.407090959085,-67.34359290904092,-0.009170615802774788,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-26,SELL,-1,Short Position (100%),129.51589965820312,32613.48568993514,-67.38651431006485,-0.0013151977238555332,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-27,SELL,-1,Short Position (100%),129.81155395507812,32539.206345096256,-67.46079365490374,-0.002280162943423933,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-28,SELL,-1,Short Position (100%),131.6751251220703,32078.68559992655,-67.92131440007346,-0.014253901773140787,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-05-29,BUY,1,Long Position (100%),133.26986694335938,31694.823721232486,-68.3051762787675,-0.012038431589027909,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-06-01,SELL,-1,Short Position (100%),131.87222290039062,31362.429890707,-68.637570109293,-0.010542701758733942,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-06-02,SELL,-1,Short Position (100%),132.8218994140625,31138.188532841486,-68.8618114671585,-0.0071756832399765096,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-06-03,BUY,1,Long Position (100%),133.1802520751953,31054.403943536923,-68.94559605646307,-0.002694360747966077,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-06-04,SELL,-1,Short Position (100%),131.46006774902344,30653.298688892104,-69.34670131110789,-0.013000351227542138,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-06-05,BUY,1,Long Position (100%),131.9707489013672,30534.681025296966,-69.46531897470302,-0.0038771606038067487,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-06-08,BUY,1,Long Position (100%),131.4959259033203,30424.8190376252,-69.5751809623748,-0.003604429383490581,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-06-09,SELL,-1,Short Position (100%),130.7702178955078,30256.908627776575,-69.74309137222343,-0.005534148247088991,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-06-10,BUY,1,Long Position (100%),132.41871643066406,29880.236274383366,-70.11976372561664,-0.012527275114512206,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-06-11,SELL,-1,Short Position (100%),126.20989227294922,28479.217311057593,-71.5207826889424,-0.048022663565327646,test
